date,open,high,low,close,shares_traded,turnover_cr,Date,Title,movement,target,sentiment_score,prediction,prediction_binary
2025-08-21,25142.0,25153.65,25054.9,25083.75,226542052.0,21865.07,2025-08-21,"['Stocks to Watch Today: Clean Science, Shanti Gold, India Cements, RailTel, Jupiter Wagons, V-Guard, Fortis, Innova Captab, Poly Medicure in focus on 21 August', 'Newly-listed Shanti Gold shares rally 11% after Q1 net profit surges 174% to Rs 25 crore']",-58.25,0,6,UP,1
2025-08-20,24965.8,25088.7,24929.7,25050.55,287054119.0,25330.45,2025-08-20,"[""KPR Mill shares rise 2.09% in Wednesday's session; stock among top gainers on Nifty Midcap 150"", 'Info Edge CFO Chintan Thakkar resigns after 12-year tenure; shares down 1%', 'One 97 Communications Paytm shares hit 52-week high; stock gains 0.47%', 'Stocks to Watch Today: Paytm, Lloyds Metals, Info Edge, GNG Electronics, Aditya Infotech, Endurance, Regaal Resources, Phoenix Mills in focus on 20 August']",84.75,1,8,UP,1
2025-08-19,24891.35,25012.65,24873.95,24980.65,252340828.0,24781.97,2025-08-19,"['Kalyan Jewellers India shares decline 2.45% amid volume surge; stock among top losers on Nifty Midcap 150', 'One 97 Communications Paytm shares rise 2.98%, among top gainers on Nifty Midcap 150', ""BlueStone Jewellery shares settle 5% higher from IPO price on debut day; here's a post-listing strategy"", 'BlueStone Jewellery shares rebound after muted debut, close nearly 6% higher', 'Small, midcap stocks rally up to 9%, broader markets extend gains for 2nd day; check top gainers', 'Kalyan Jewellers India shares fall 2.85%, among top losers on Nifty Midcap 150']",89.30000000000291,1,9,UP,1
2025-08-18,24938.2,25022.0,24852.85,24876.95,363071305.0,37637.67,2025-08-18,"['BSE, HDFC AMC, MCX, other capital market stocks surge up to 5% on market optimism, S&P upgrade', 'Max Financial Services shares gain 2.30% amid volume surge; stock among top gainers on Nifty Midcap 150', 'One 97 Communications Paytm shares rise 2.09%; stock among top gainers on Nifty Midcap 150', 'Smallcap, midcap stocks rally up to 9% amid broader optimism over GST reforms, S&P upgrade; check top gainers', ""Kalyan Jewellers' Subsidiary Renamed Candere Lifestyle Jewellery"", 'Trade Spotlight: How should you trade Eicher Motors, HDFC Life, Manappuram Finance, UNO Minda, Tube Investments, PB Fintech, and others on August 18?', 'Kalyan Jewellers India share price falls 2.04% on Nifty Midcap 150']",-61.25,0,20,UP,1
2025-08-14,24607.25,24673.65,24596.9,24631.3,270162203.0,22375.44,2025-08-14,"['Lux Industries Standalone June 2025 Net Sales at Rs 604.49 crore, up 12.93% Y-o-Y', 'Kalyan Jewellers India shares rise 2.33%, among top gainers on Nifty Midcap 150', 'PC Jeweller Allots 97.84 Lakh Equity Shares', 'Kalyan Jewellers India shares surge 5.49% amid volume surge']",24.049999999999272,1,8,UP,1
2025-08-13,24586.2,24664.55,24535.25,24619.35,236006791.0,22843.14,2025-08-13,"['Broking stocks higher as Sebi consultation paper seeks to revamp regulation, ease compliance burden', ""PB Fintech-Policybazaar shares rise 2.01% in Wednesday's trading session"", 'One 97 Communications Paytm shares jump 4.13% amid high volume; stock among top midcap gainers', 'Rupa and Comp Consolidated June 2025 Net Sales at Rs 183.90 crore, down 12.55% Y-o-Y']",33.14999999999782,1,9,UP,1
2025-08-12,24563.35,24702.6,24465.65,24487.4,237002462.0,22258.29,2025-08-12,"['Aurobindo Pharm Consolidated June 2025 Net Sales at Rs 7,868.14 crore, up 3.98% Y-o-Y', 'Hold Voltas; target of Rs 1268: Prabhudas Lilladher', 'SJVN share price rises 2.53% in early trade', 'Zydus Lifesciences Q1 Net Profit Rises 3.3% YoY to ?1,466.8 Crore', 'Buy National Aluminium Co; target of Rs 228: Prabhudas Lilladher', 'Marico Consolidated June 2025 Net Sales at Rs 3,259.00 crore, up 23.31% Y-o-Y', ""Tube Investments of India shares rise 0.91% amid high volume in today's session"", 'Gujarat Fluoro Consolidated June 2025 Net Sales at Rs 1,281.00 crore, up 8.93% Y-o-Y', 'Gland Consolidated June 2025 Net Sales at Rs 1,505.62 crore, up 7.41% Y-o-Y', 'Abbott India Q1 FY26 Net Profit Rises 7.27% YoY to ?365.86 Crore', 'Max Healthcare Grants 2,00,580 Stock Options Under ESOP 2022', 'Hindustan Zinc Joins International Council on Mining and Metals', 'Buy Voltas; target of Rs 1568: Anand Rathi', 'Tube Investment Consolidated June 2025 Net Sales at Rs 5,309.06 crore, up 15.97% Y-o-Y', 'Pearl Global In Consolidated June 2025 Net Sales at Rs 1,227.92 crore, up 16.63% Y-o-Y', 'Monte Carlo Consolidated June 2025 Net Sales at Rs 138.53 crore, up 9.94% Y-o-Y', 'Chartist Talk: Nifty needs to break above 24,640 to trap late short sellers for short covering rally to 24,800; buy these 2 stocks, says Ashish Kyal', 'PC Jeweller Consolidated June 2025 Net Sales at Rs 724.91 crore, up 80.71% Y-o-Y', 'Trade Spotlight: How should you trade Paytm, Indian Bank, InterGlobe Aviation, Larsen & Toubro, Transrail Lighting, Fortis Healthcare, and others on August 12?', 'Gokaldas Export Consolidated June 2025 Net Sales at Rs 955.79 crore, up 2.54% Y-o-Y', 'Neutral Max Financial Services; target of Rs 1750: Motilal Oswal', 'Vishal Fabrics Consolidated June 2025 Net Sales at Rs 397.17 crore, up 16.84% Y-o-Y', 'Sutlej Textiles Consolidated June 2025 Net Sales at Rs 604.89 crore, down 8.08% Y-o-Y', 'Dollar Ind Consolidated June 2025 Net Sales at Rs 399.13 crore, up 19.59% Y-o-Y', 'Trade Spotlight: How should you trade TBO Tek, CreditAccess Grameen, MCX, Maruti Suzuki, Acutaas Chemicals, Max Financial, and others on August 13?', 'DLF Consolidated June 2025 Net Sales at Rs 2,716.70 crore, up 99.41% Y-o-Y', 'Sanathan Textil Consolidated June 2025 Net Sales at Rs 745.34 crore, down 4.58% Y-o-Y', 'Axita Cotton  Consolidated June 2025 Net Sales at Rs 156.70 crore, up 1.14% Y-o-Y']",-75.94999999999709,0,57,UP,1
2025-08-11,24371.5,24600.85,24347.45,24585.05,241145497.0,21081.61,2025-08-11,"['Lupin launches Glucagon injection, targets $122 million annual market in US for low blood sugar', 'Mazagon Dock Shipbuilders shares rise 2.70%', 'PG Electroplast sinks 15% as Nuvama slashes target price, stock down 40% in four sessions', 'Trade Spotlight: How should you trade Sanghvi Movers, Kajaria Ceramics, TVS Motor, Tech Mahindra, Medanta, Pidilite Industries, and others on August 11?', 'Solar Industries India shares rise 2.13% on Nifty Midcap 150', 'Stocks to Watch Today: Tata Motors, IDFC First Bank, Manappuram Finance, Power Mech Projects, Entero Healthcare, Voltas, Siemens in focus on 11 August', 'Jupiter Wagons shares gain on order win worth Rs 242 crore from GATX India', 'Jupiter Wagons Secures ?242.41 Crore Order from GATX India', 'Voltas shares fall 6% amid volume surge; stock among top losers on Nifty Midcap 150 today', 'Cochin Shipyard shares rise 2.12% in morning trade', 'Data Patterns, Mazagon Dock, other defence shares rise up to 4.5% after three-session fall: Here are 5 key reasons', 'SJVN shares rise 2.04% in morning trade on Nifty Midcap 150', 'Voltas shares slump 8% after Q1 results miss Street estimates, brokerages remain cautious', 'Zydus Lifesciences Gains USFDA Nod for Diltiazem Hydrochloride Tablets', 'Rail Vikas Nigam shares rise 2.26% in morning trade; stock among top gainers on Nifty Midcap 150', 'PB Fintech-Policybazaar shares rise 2.11% in morning trade', 'IPO-bound insurtech firm Turtlemint converts to public company ahead of filing draft documents']",213.54999999999927,1,6,UP,1
2025-08-08,24544.25,24585.5,24337.5,24363.3,312630157.0,38135.74,2025-08-08,"['Trade Spotlight: How should you trade TVS Motor, BSE, Aditya Birla Capital, Cholamandalam Financial, Delhivery, Eternal and others on August 8?', 'Buy Titan Company; target of Rs 4150: Motilal Oswal', 'Grasim Q1 net loss widens to Rs 118 crore, revenue up 34 percent at Rs 9,223 crore', 'Infosys share price falls 1% in morning trade', 'Bharti Airtel share price falls 2.86% in early trade; stock among top losers on Nifty 50', 'Sensex declines nearly 500 pts, Nifty below 24,450 on tariff worries; IT, pharma among top sectoral losers', 'Bharti Airtel share price falls 2.88%, hits intraday low', 'Defence stocks tumble up to 6% on weak earnings, profit booking: Mazagon Dock, BDL, Paras Defence among top losers', 'NTPC shares rise 2.06%; among top gainers on Nifty 50', ""Larsen & Toubro among top gainers on Nifty 50 in Friday's session today"", 'Buy Hero MotoCorp; target of Rs 5355: Motilal Oswal', 'Neutral Bajaj Auto; target of Rs 8618: Motilal Oswal', ""Tata Consultancy Services shares trade flat in today's session; over 15.9 lakh shares traded"", ""Infosys share price falls nearly 1% in Friday's trading session"", 'Infosys share price falls nearly 1% in morning trade', 'Bear run on D-Street: Sensex falls 550 pts, Nifty slips below 24,450 on tariff worries; 11 out of 13 sectors in red', 'Bharti Airtel share price falls 2.7% in early trade', 'Neutral Bajaj Auto; target of Rs 8561: LKP Research', ""Larsen & Toubro share price falls marginally in today's session"", 'Tata Consultancy Services share price trades flat; hits intraday high of Rs 3,059.80', ""ITC shares gain marginally in today's session; over 21.4 lakh shares traded"", 'Neutral Bosch; target of Rs 35967: Motilal Oswal', 'Metal, realty stocks down up to 5 percent as Trump tariffs weigh: Here are the top losers', 'Titan shares surge 2%, top Nifty gainer as brokerages remain bullish on strong Q1 results', 'Nestle India shares fall 2.04% on Nifty 50', ""ITC shares among top gainers on Nifty 50 in Friday's session; stock rises 0.23%"", 'Hold BHEL; target of Rs 215: Prabhudas Lilladher', ""Hindustan Unilever share price trades down marginally in today's session"", ""Larsen &Toubro shares trade flat; stock touches day's high of Rs 3,662.30"", 'Hindustan Unilever share price falls 0.62% in morning trade', 'Bharti Airtel shares fall 2.78%; stock among top losers on Nifty 50', ""Avenue Supermarts share price falls 2.11% in Friday's session; stock among top losers on Nifty Next 50"", ""JSW Steel share price falls 2% in Friday's trading session"", 'Buy Titan Company; target of Rs 3901: Prabhudas Lilladher', 'Bharti Airtel shares fall over 2 percent on large trade of equity worth over Rs 12,500 crore', 'SBI regains home loan crown, outpaces HDFC Bank by Rs 8,000 crore to top the housing segment', 'Adani Enterprises share price falls 2.12% in early trade', 'ITC shares gain marginally; over 54 lakh shares traded', 'SBI Q1 results: Net profit rises 12% to Rs 19,160 crore, beats estimates', 'Tata Consultancy Services shares fall marginally; over 11.7 lakh shares traded', 'Stocks to Watch Today: Titan, Bharti Airtel, Biocon, Cummins, BSE, LIC, KRBL, Metropolis, Kalpataru Projects, Godrej Consumer, Kalyan Jewellers, AU SFB in focus on 8 August', 'Buy Hero MotoCorp; target of Rs 5304: LKP Research', 'Bulk deals: Promoter entity Indian Continent Investment sells shares worth Rs 11,227 crore in Bharti Airtel', 'Sensex falls 800 pts, goes below 80k, Nifty at 24,400: Tariff jitters among key factors behind market fall', 'JSW Steel shares fall 2% as banks seek EBITDA of Bhushan Power & Steel during IBC process to flow to creditors', ""Glenmark Pharma share price falls 2.1% in today's session; stock among top losers on Nifty Midcap 150"", 'Buy Pidilite Industries; target of Rs 3427: Prabhudas Lilladher', ""GHCL Launches 'Saksham Niveshak' for Unclaimed Dividends"", 'Buy Godrej Agrovet; target of Rs 940: Motilal Oswal', 'Steel Authority of India shares fall 2.02%', 'Buy Jindal Stainless; target of Rs 830: Motilal Oswal', 'Buy Gland Pharma; target of Rs 2340: Motilal Oswal', 'Zydus Lifesciences gets NOC from Health Canada; share price down marginally', 'Pidilite Industries Announces ?10/Share Special Interim Dividend', 'Buy Lupin; target of Rs 2500: Emkay Global Financial', 'PG Electroplast shares fall 23% after firm cuts FY26 growth guidance', 'Mazagon Dock Shipbuilders shares fall 2.01% in morning trade', 'Jindal Stainless shares decline 5.04% amid volume surge; stock among top losers on Nifty Midcap 150', 'Voltas Q1 FY26 Net Profit Declines 58% YoY to ?140.61 Crore', 'Neutral Pidilite Industries; target of Rs 3200: Motilal Oswal', 'Cochin Shipyard shares fall 2.05% on Nifty Midcap 150', 'AU Small Finance Bank shares rise 3% on RBI nod to act as universal bank', 'Kalyan Jewellers sharply lower by over 7 percent on heavy volumes despite strong Q1 earnings', 'Buy Kalyan Jewellers; target of Rs 700: Motilal Oswal', 'Buy AU Small Finance Bank; target of Rs 875: Motilal Oswal', 'Buy Raymond Lifestyle; target of Rs 1425: Motilal Oswal', ""KPR Mill share price falls 2.05% in Friday's trading session""]",-180.95000000000073,0,-21,DOWN,0
2025-08-07,24464.2,24634.2,24344.15,24596.15,616739190.0,35574.59,2025-08-07,"['TCS to roll out wage hikes after announcing plans to cut 12,000 jobs. Check details', 'RIL annual report: Reliance says tariff risks may weigh on demand-supply balance in O2C business', 'Hindustan Unilever share price falls 0.56% in early trade', 'Adani Power share price falls 2.04% in morning trade', 'Eternal shares decline 2.49% amid volume surge; stock among top losers on Nifty 50', 'Trent shares rise 2% after Q1 results, but brokerages flag slow revenue growth; should you buy, sell or hold?', 'Bharat Heavy Electricals shares decline 4.02% amid high volume, among top midcap losers', 'ITC shares among top gainers on Nifty 50; up 0.44%', 'Bharat Heavy Electricals shares fall 4.20%, among top losers on Nifty Midcap 150', 'Larsen & Toubro shares fall marginally in early trade', 'Accumulate Bharti Airtel; target of Rs 2090: Prabhudas Lilladher', 'Bharti Airtel share price falls 0.54% in early trade', ""Sensex recovers over 900 pts from day's low, Nifty near 24,600: 5 key reasons behind sharp market recovery"", ""Tata Consultancy Services shares fall marginally in today's session"", ""BHEL shares fall over 6 percent as CLSA recommends 'Underperform' after net loss doubles"", 'Coal India Allows Power Sale in Exchanges from August 1, 2025', ""ITC shares gain 0.5% in today's session; about 20 lakh shares traded"", ""Larsen & Toubro shares trade flat in today's session"", 'Bajaj Holdings Standalone June 2025 Net Sales at Rs 294.75 crore, up 134.77% Y-o-Y', 'Eternal shares see Rs 5,624 crore block deal as Antfin likely exits holding', 'Hold Bharti Airtel: target of Rs 1960: ICICI Securities', 'HUL expects steady demand, bets on macros and consumption recovery to sustain momentum', 'BHEL Standalone June 2025 Net Sales at Rs 5,486.91 crore, up 0.04% Y-o-Y', 'Larsen & Toubro shares trade flat; hits intraday high of Rs 3,649', 'Hero Motocorp Standalone June 2025 Net Sales at Rs 9,578.86 crore, down 5.57% Y-o-Y', 'Trump tariffs not a concern for Bajaj Auto, but rare earth magnet supplies still uncertain: Rajiv Bajaj', 'Bharti Airtel shares fall 0.95%, stock among top losers on Nifty 50', ""Adani Power shares rise 2.04% in Thursday's session"", 'Titan Q1 results: Net profit rises 34% to Rs 1,030 crore, beats estimates', 'Bajaj Auto Standalone June 2025 Net Sales at Rs 12,584.45 crore, up 5.5% Y-o-Y', ""Hindustan Unilever share price falls 0.73% in Thursday's session"", 'Reliance Industries Sets August 14, 2025 as Dividend Record Date', 'Buy NTPC; target of Rs 398: Mirae Asset Sharekhan', ""Infosys shares trade flat in today's trading session"", 'Bulk deals: Alibaba-backed Antfin offloads 1.46% stake worth Rs 4,097 crore in Eternal', 'Adani Green Energy shares fall 2.07% in morning trade', 'Trade Spotlight: How should you trade IndiGo, Asian Paints, Waaree Energies, Jindal Stainless, CSB Bank, Bajaj Finance and others on August 7?', 'Sunil Mittal-led promoter entity eyes part stake sale in Bharti Airtel, launches mega $1-bn block deal', ""ITC shares gain marginally in today's session; over 62.2 lakh shares traded"", ""Infosys shares fall 0.81% in Thursday's trading session"", ""Bajaj Finance shares trade flat after hitting day's high, day's low"", ""Tata Consultancy Services shares see moderate fall in Thursday's session"", 'Stocks to Watch Today: Eternal, Hero MotoCorp, Trent, Bharat Forge, BHEL, Lumax Ind, Fortis Healthcare, Datamatics Global, Bajaj Holdings in focus on 7 August', ""Bharti Airtel shares decline 0.86% in today's session; over 22 lakh shares traded"", 'Sensex falls over 700 pts, Nifty slips below 24,350: Higher tariffs by Trump among key factors behind market fall', 'Buy Bajaj Auto; target of Rs 9850: ICICI Securities', 'Hindustan Unilever shares fall marginally in early trade', 'JSW Steel shares hit all-time high of Rs 1,074.90 on NSE', 'Adani Power Receives LoI for 2,400 MW Thermal Power Project from Bihar State Power Co', 'Buy Aurobindo Pharma; target of Rs 1300: ICICI Securities', 'Lupin shares rise 2.03% in early trade', 'Pidilite Ind Standalone June 2025 Net Sales at Rs 3,479.30 crore, up 10.6% Y-o-Y', ""Trump's tariff threats: Indian Pharma is ready with a multi-pronged defence strategy"", 'Buy Lupin; target of Rs 2400: Prabhudas Lilladher', 'Brookfield\x92s CleanMax, KKR-backed Hero Future Energies may file draft IPO papers by next week', 'Hold Lupin: target of Rs 1950: ICICI Securities', ""NMDC share price falls 2.02% in today's session"", 'Jindal Stainless shares fall 6.15% in early trade; stock among top losers on Nifty Midcap 150', ""Lupin shares surge 3.17% amid high volume in today's session"", 'Tube Investments of India shares decline 1.01% amid volume surge; stock among top losers on Nifty Midcap 150', 'Buy Azad Engineering; target of Rs 1882: ICICI Securities', 'Jindal Stainles Standalone June 2025 Net Sales at Rs 10,340.51 crore, up 7.88% Y-o-Y', 'Steel Authority of India shares fall 2.01%, stock among top losers on Nifty Midcap 150', 'Gland Standalone June 2025 Net Sales at Rs 1,038.84 crore, up 2.65% Y-o-Y', 'KPR Mill share price falls 5.29% among top losers on Nifty Midcap 150', 'Buy DLF; target of Rs 954: ICICI Securities', 'PB Fintech shares rise 2.08% on Nifty Midcap 150', 'Nifty Realty drops 1.4%, extends losses for third day: 5 reasons behind sector-wide sell-off', 'Cheviot Company Standalone June 2025 Net Sales at Rs 119.72 crore, up 26.4% Y-o-Y', 'Textile, shrimp stocks fall as Trump doubles tariff; Gokaldas Exports, KPR Mill, Avanti Feeds decline up to 4%', 'KPR Mill Standalone June 2025 Net Sales at Rs 1,103.70 crore, up 2.36% Y-o-Y', 'Sutlej Textiles Standalone June 2025 Net Sales at Rs 598.49 crore, down 8.17% Y-o-Y', 'Kalyan Jewellers India shares fall 2.01%, among top losers on Nifty Midcap 150', 'Monte Carlo Standalone June 2025 Net Sales at Rs 138.53 crore, up 9.94% Y-o-Y', ""Kalyan Jewellers' Q1 FY26 Net Profit Rises 48.73% YoY to ?264.08 Crore""]",131.95000000000073,1,1,UP,1
